frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
7332,122.0,1123.0,477.0,188.77,-37.32,192.43,Inner,True,False,,auto,R35,Unknown
7344,122.2,1138.0,484.0,205.16,-44.97,210.03,Outer,True,False,Inner -> Outer,auto,R35,Unknown
7356,122.4,1156.0,488.0,224.83,-49.34,230.18,Outer,True,False,,auto,R35,Unknown
7368,122.6,1171.0,484.0,241.22,-44.97,245.37,Outer,True,False,,auto,R35,Unknown
7380,122.8,1187.0,487.0,258.7,-48.25,263.16,Outer,True,False,,auto,R35,Unknown
7392,123.0,1200.0,486.0,272.9,-47.16,276.95,Outer,True,False,,auto,R35,Unknown
7404,123.2,1219.0,485.0,293.66,-46.06,297.25,Outer,True,False,,auto,R35,Unknown
7416,123.4,1230.0,484.0,305.68,-44.97,308.97,Outer,True,False,,auto,R35,Unknown
7428,123.6,1239.0,481.0,315.51,-41.69,318.26,Outer,True,False,,auto,R35,Unknown
7440,123.8,1254.0,481.0,331.9,-41.69,334.51,Outer,True,False,,auto,R35,Unknown
7452,124.0,1262.0,470.0,340.64,-29.67,341.93,Outer,True,False,,auto,R35,Unknown
7464,124.2,1280.0,464.0,360.31,-23.12,361.05,Outer,True,False,,auto,R35,Unknown
7476,124.4,1290.0,458.0,371.24,-16.56,371.6,Outer,True,False,,auto,R35,Unknown
7488,124.6,1298.0,451.0,379.98,-8.91,380.08,Outer,True,False,,auto,R35,Unknown
7500,124.8,1312.0,440.0,395.27,3.1,395.28,Outer,True,False,,auto,R35,Unknown
7512,125.0,1317.0,434.0,400.73,9.66,400.85,Outer,True,False,,auto,R35,Unknown
7524,125.2,1327.0,431.0,411.66,12.94,411.86,Outer,True,False,,auto,R35,Unknown
7536,125.4,1337.0,423.0,422.59,21.68,423.14,Exited,False,False,Outer -> Exited,auto,R35,Unknown
7548,125.6,1343.0,411.0,429.14,34.79,430.55,Exited,False,False,,auto,R35,Unknown
