stimulus,orientation,x,xdop,xhdr,hdr,intensity,edge intensity (L/R),signal rank,calibration_date,
p0.1 u8.0,TB,5.765870000000000000e+05,6.500000000000000222e-02,1.111910000000000000e+05,2.069865770860652154e-01,101,45/57,,20240926,
p3.8 u8.0,LR,4.531890000000000000e+05,3.499999999999999639e-02,8.675800000000000000e+04,2.468040250512039957e-01,101,49/63,,20240926,
p3.8 u8.0,TB,5.643110000000000000e+05,6.500000000000000222e-02,9.717700000000000000e+04,2.419326093602370276e-01,101,49/63,,20240926,
p4.2 u8.0,LR,4.521410000000000000e+05,4.499999999999999833e-02,8.791000000000000000e+04,2.468040250512039957e-01,101,49/62,,20240926,
p4.2 u8.0,TB,5.643400000000000000e+05,6.500000000000000222e-02,8.430200000000000000e+04,2.462435966973758883e-01,101,49/62,,20240926,
p4.3 u8.0,LR,4.491100000000000000e+05,3.499999999999999639e-02,8.748300000000000000e+04,2.468040250512039957e-01,101,45/59,,20240926,
p4.3 u8.0,TB,5.654070000000000000e+05,6.500000000000000222e-02,1.245530000000000000e+05,2.399495551851530961e-01,101,45/59,,20240926,
p4.4 u8.0,LR,4.482280000000000000e+05,4.499999999999999833e-02,8.834600000000000000e+04,2.468040250512039957e-01,101,53/56,,20240926,
p4.4 u8.0,TB,5.653920000000000000e+05,6.500000000000000222e-02,9.882700000000000000e+04,2.439156635353209035e-01,101,53/56,,20240926,
p7.7 u8.0,LR,4.250710000000000000e+05,4.499999999999999833e-02,1.446800000000000000e+05,2.271852665751968314e-01,101,50/62,,20240926,
p7.7 u8.0,TB,5.591940000000000000e+05,7.500000000000001110e-02,9.607400000000000000e+04,2.815121781475264928e-01,101,50/62,,20240926,
p8.0 u8.0 ,LR,4.221230000000000000e+05,4.499999999999999833e-02,1.444740000000000000e+05,2.271852665751968314e-01,101,52/58,,20240926,
p8.0 u8.0 ,TB,5.630320000000000000e+05,6.500000000000000222e-02,9.502900000000000000e+04,2.909978293744412414e-01,101,52/58,,20240926,
